t,x,y,z,vx,vy,vz
0.172,24786851.203388024,33677.768964513656,-3417567.366124613,103909393.22902878,-84092872.47663932,-260104915.2583764
0.176,24454401.672884226,34493.27080861858,-4125181.9658595435,88681890.71243392,81252717.19270137,-266564939.40834847
0.18,24055973.788320683,43861.179080434056,-4772417.061680369,-85873713.84070382,-224074183.19308764,-167152107.6635119
0.184,23648692.576115564,38847.261569414586,-5383279.230277619,4541463.230746331,180997527.60557196,-229657682.67615932
0.188,23203714.522468116,47694.871509454046,-5928643.2993994495,-160250977.68546885,228372958.39316607,-87685966.91842689
0.192,22745574.624858253,47475.68386778363,-6415019.012214413,-157600999.25437573,235712575.01136243,-71588908.7316044
0.19599999999999998,22287425.808656815,42327.901774123326,-6843555.035651962,-65041705.74998371,239173423.79508552,-155206962.32741964
0.19999999999999998,21838295.537796855,36957.73659648839,-7212383.911055651,31305439.959060997,121313467.22543268,-264247434.29038218
0.204,21410440.723428205,36487.79184801545,-7524449.61181366,40967836.77598327,-95960340.60885979,-273198054.95222473
0.208,21017136.79787107,42426.02965620432,-7786646.874413379,-59121023.47991665,-263880444.70463195,-111337836.05572453
0.212,20671246.099146392,51472.27561528469,-8008583.193216499,-207604944.80653265,-127493997.30695632,161772467.19753498
0.216,20379342.8526191,43241.58100358838,-8192159.525240794,-56056241.65145992,280830391.5011847,-59309977.47534237
0.22,20132165.668084983,48437.744303207364,-8310557.678148602,-128764503.63125104,-235130586.58627936,116876499.58472864
0.22399999999999998,19955466.425729822,47381.54787290122,-8402012.18386113,-93529041.59237081,-259978709.82277733,95872972.22857061
0.22799999999999998,19852512.123383682,38526.94324361483,-8468155.113114411,72116441.03038374,208388412.5435365,-192102628.7435899
0.23199999999999998,19808473.334095504,42092.1916017005,-8475296.93152925,36844554.03405826,-280269239.74821633,-74989403.89092618
0.236,19845725.87492192,52508.612483100515,-8467001.19580834,-110165688.54911359,58266647.44008765,264579196.83452478
0.24,19947304.496772908,38352.38729532399,-8410128.729657052,152205578.25777876,-130959756.29792191,-212646063.65689155
0.244,20120026.009562634,38429.22816764516,-8322328.216441178,181860014.27784526,-66690989.630116686,-219125646.33450842
0.248,20359125.420962874,53732.5071785195,-8199772.695725343,-44340722.040409505,168938839.5416212,234587981.40992934
0.252,20652962.680798028,41145.18221629206,-8028780.993579838,203730981.44953638,137071402.98906016,-158883345.1417491
0.256,20993358.252887536,42805.60524638966,-7806035.262457815,211988782.83229408,-158214710.87909812,-124772788.45535305
0.26,21379107.960023344,49679.42959540141,-7540101.534809908,128437031.08770534,-260384751.70836544,35263090.05858378
0.264,21800665.530814994,56939.15678335295,-7226554.208094841,35669814.45930361,-228314737.95560375,179276507.9221912
0.26799999999999996,22247302.10413066,62563.801253743935,-6861043.489398316,-29885400.537748247,-124354436.216426,263026634.5903201
0.27199999999999996,22706247.250278953,65813.62535663115,-6438769.205097693,-53716973.55817182,-42301939.87807666,284368244.4969034
0.27599999999999997,23162901.741200194,67673.17116577426,-5955613.267459662,-52891955.67811662,-80736840.77770206,276087532.0759577
0.27999999999999997,23604574.124393553,61892.25781072527,-5411769.187797719,87670659.33774744,-228896375.30997568,159563971.06207925
0.284,24042844.366457507,56058.61869437767,-4825091.919426236,228159258.6384774,167704065.69385517,73205712.8177256
0.288,24418504.62259935,58842.506033385,-4165894.0264345836,208629564.16242987,-175269698.13638994,106276191.88307318
0.292,24768336.72866852,56745.28018983168,-3468542.1305097328,276173915.4762007,-16154595.120309997,94907311.68737033
0.296,25047849.770482525,76453.5125972726,-2721429.4521952486,-63584815.94047801,-163554045.82465455,233981734.7519834
0.3,25271772.484575793,62097.04006398921,-1941988.4224041116,224865603.92032084,-100826742.46566334,157511396.67120683
0.304,25420728.883385386,63592.659035622484,-1135177.3338841924,215261088.7869227,-84231569.92169474,179187394.2153521
0.308,25484875.19918737,72605.02540446202,-312099.3001454322,61942900.68262931,-199037439.87576827,205152611.79284987
0.312,25478684.484937984,85731.12830947184,514778.6966976497,-172211193.4389609,-130725050.91263905,196963674.05070648
0.316,25396171.303318728,89521.42610316839,1335699.4187621572,-237438991.1447662,5482604.008347981,170684191.14670005
0.32,25225034.969862312,89575.59270144693,2136434.6564478837,-237790125.84684694,-82286459.99747163,149081270.5011103
0.324,24986596.3854485,70611.29248692543,2908704.743977805,110665471.4655335,-96670938.61000067,252880048.2018749
0.32799999999999996,24680857.800062973,84793.22636065072,3640993.6169685815,-159261569.7153047,-199538967.8592139,142689856.64061478
0.33199999999999996,24331636.73471515,70793.17599628045,4332913.270897195,89859482.84201102,-61675732.24449359,271407128.6325777
0.33599999999999997,23927953.176875204,75563.75582253645,4967484.030559022,-10727019.624717534,-196592421.24301386,216279489.29682255
0.33999999999999997,23508279.593730137,88786.60285907224,5558614.713970883,-268016653.71315014,116323210.04946119,13284328.701427493
0.344,23046781.004157264,77049.36119315692,6075102.446644144,-66455587.47225029,-230299050.43953228,167590358.73918265
0.348,22596377.747736663,69845.72830332798,6550990.445206038,49586640.11382969,61077323.19650398,281693650.33616453
0.352,22145405.56996316,76223.4512887506,6966683.450518844,-79400692.5502442,246908782.75905123,135174964.45147887
0.356,21703584.246074766,83108.02806687044,7319998.592568935,-212401281.05248246,193400027.34407887,-54981633.137142494
0.36,21285304.574101295,84983.3486362802,7616152.478820765,-251122091.72267804,-3061717.8945641145,-149898117.5537615
0.364,20904128.980839413,82030.55279404313,7862718.688981624,-201433318.66198808,-174341440.1383926,-120711345.02984281
0.368,20570369.15312062,80003.6584533422,8065495.292909999,-164915048.70023564,-217375142.0297674,-105324546.6976597
0.372,20292939.153055407,82361.86074119803,8230272.321487169,-199407159.39199862,-20268751.052196145,-213000134.37793478
0.376,20074625.61351144,67203.92867108084,8353292.632165981,63837030.53793768,157912554.5112456,237766209.6075211
0.38,19920521.029679026,72506.53823691464,8436471.228836298,-11202313.174040865,286962844.6389726,55431606.19283634
0.384,19826845.187772002,75234.43017072894,8465930.8833592,-35830857.28722822,-287205515.4786029,-42151161.831004106
0.38799999999999996,19817147.732978884,79417.32383000302,8485851.686734715,-82799921.26556917,216139235.36644775,-178822378.10967153
0.39199999999999996,19869179.136321746,67219.22767172726,8450698.281061005,146576722.5480174,-92732529.37293164,235514753.76299632
0.39599999999999996,19999648.65474249,75477.81934577772,8396260.313810049,40789707.122753344,289149749.7597486,-16778391.206529364
0.39999999999999997,20190295.605174493,69392.0934406437,8290676.229863945,178810197.35787126,119152398.9596504,198453698.31877017
0.40399999999999997,20447690.01143026,77492.0083023818,8153469.171844233,81294895.89176767,280218337.1259404,-20594251.070945576
0.408,20751770.128486354,86062.00033923016,7957551.922412993,-22641599.34054644,-182995983.8058424,-227059209.559034
0.412,21117286.388405304,74911.98219484661,7736650.348116297,213832362.4873397,162744465.98531416,115527194.71294497
0.416,21510203.54144499,89731.85675532113,7448106.6004508985,1333153.3191392226,-195148106.77761796,-217881500.6616283
0.42,21949269.638288822,82414.96907967539,7128580.39349687,177772903.25350294,232222333.88173229,-5167484.260415183
0.424,22387799.172698468,88924.37890381021,6729461.188913007,111109468.71189132,-248072333.01668215,-108037278.01206265
0.428,22857870.45479077,97574.1230866721,6298696.423493316,1781045.7567348345,184341189.14847386,-227095755.82212988
0.432,23312220.48567788,85599.29280789389,5796202.775674493,268394766.78557912,116280586.82905726,671118.6820171289
0.436,23748300.228610486,87023.52313213966,5233872.871327095,289855529.0743194,-36965101.68004571,-13219641.087262426
0.44,24170069.62327183,92345.97422708139,4624195.016443813,236096387.55770358,155462984.45079154,-75147721.6509751
0.444,24533563.650991574,110336.42505319316,3949758.0285935155,-54835419.2637198,-147541043.41189152,-246540368.19704998
0.44799999999999995,24862485.038237285,115207.56990639292,3235742.6320532323,-108419963.76955333,-83116188.81035879,-258639236.56183314
0.45199999999999996,25137257.6804144,97815.64057880899,2481202.3890171186,245242191.11733356,81073598.49553366,-137261754.90274033
0.45599999999999996,25342640.212321103,108291.33049714395,1691750.6789147612,77691060.14231132,205585147.10014507,-193018913.88731855
0.45999999999999996,25464949.040503204,105895.11610261214,876778.4499463657,142322448.25295997,167919851.3010589,-192625810.2349886
0.46399999999999997,25498318.660325035,103450.55419776373,49775.619329892026,201469903.77314222,-50366752.821741216,-205986723.0670031
0.46799999999999997,25454593.47416078,114743.98340543325,-775926.5308258962,-582143.2053543739,-205995063.4996946,-207661167.19318905
0.472,25341329.512610424,121954.4824418857,-1590918.2439655552,-133694291.67949627,-184319929.17411175,-183601386.75298306
0.476,25150854.00272344,114209.07652861065,-2383630.4101514868,3929658.1476217196,-201172620.02244577,-212300749.42005166
0.48,24911801.54111793,117687.44108038653,-3152173.503021764,-72392971.26852657,213869404.48396188,-185947881.10365275
0.484,24589095.313694283,110597.83798033308,-3872861.835675763,41721422.79407963,163951849.17034832,-238613915.05646998
0.488,24208106.512128364,126637.17630162345,-4540922.806457491,-275141794.3741024,-82874933.61213249,-54646460.41042333
0.492,23795218.97121541,123327.88165194291,-5159749.344055577,-237660962.50782216,-161798784.96762776,-53813882.20539965
0.496,23366028.991971537,123762.25340063221,-5731961.674437101,-271278642.3743403,109377969.98939379,-1377696.5620233885
0.5,22909450.5618522,104468.08482288706,-6238030.581651687,54270402.61895001,56250568.57401697,-281865535.5354593
0.504,22447200.22827541,121285.19009329414,-6684339.979522714,-276234160.1516048,-64936180.69429268,70962212.82182051
0.508,21996967.260752786,101756.08364977216,-7078337.4465201255,50452800.68115172,-15339383.706663948,-287709907.65890217
0.512,21566892.692674134,116887.5720787228,-7419912.587172866,-240202119.26517853,130422287.36648676,104167825.66279732
0.516,21156200.882461786,103807.52516163391,-7695154.917002232,-25870562.011423625,-237914994.53670597,-168182782.36985865
0.52,20799626.47641618,103714.688610598,-7943853.31724757,-38984201.99015502,258909764.44658136,-130402179.14263184
0.524,20478991.81631141,113359.82896786995,-8128135.689762762,-209213997.04883072,61818104.77754198,194852517.5300328
0.528,20215258.438858613,112364.32899572645,-8271470.627849606,-190833159.7153281,-57216205.57306076,214171638.30692574
0.532,20019277.398124907,104479.5500487488,-8386057.875444937,-54053019.06691629,287469542.1952413,-1151115.210693797
0.5359999999999999,19881925.044400573,111419.77330232729,-8447775.841265691,-155041410.3999521,23164627.546111777,246959407.6611528
0.5399999999999999,19817684.099082954,95699.96326638568,-8479464.39405727,122097631.77515602,14324392.288566614,-265428262.84378746
0.5439999999999999,19822351.911940977,110068.38592807877,-8471093.61158537,-88121080.68286379,-186867315.03684565,207080470.41530272
